Loan_ID,Application_Date,Customer_Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Credit_Score,Existing_Loans_Count,Number_of_Dependents,Home_Ownership,Region,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Monthly_Installment,Debt_to_Income_Ratio,Loan_Status,Repayment_Status
LN302366,2024-01-01,40,Male,Single,High School,Business Owner,54396.58,669.0,0,0,Own,Europe,Business,25136.64,60,9.02,522.04,11.52,Approved,On-Time
LN302974,2024-01-01,25,Other,Divorced,High School,Self-Employed,87338.5,683.0,0,1,Mortgage,Europe,Auto,11092.49,24,8.23,502.85,6.91,Approved,On-Time
LN304565,2024-01-01,44,Female,Married,Master's,Salaried,76136.67,621.0,3,4,Mortgage,Africa,Home,142834.28,24,8.88,6517.49,95.0,Rejected,N/A
LN300728,2024-01-01,21,Male,Single,Bachelor's,Salaried,52982.21,,1,2,Own,Europe,Business,72972.66,120,9.66,950.65,23.76,Approved,On-Time
LN303105,2024-01-01,46,Male,Single,Master's,Salaried,61433.04,823.0,0,2,Mortgage,South America,Personal,9613.33,60,4.46,179.05,3.5,Approved,On-Time
LN301267,2024-01-01,46,Male,Single,Master's,Salaried,40620.1,693.0,1,0,Rent,North America,Personal,7552.28,24,8.48,343.22,15.25,Approved,On-Time
LN301399,2024-01-01,38,Male,Married,High School,Salaried,50121.0,707.0,1,1,Mortgage,Asia,Education,6526.42,60,7.69,131.37,10.16,Approved,On-Time
LN300344,2024-01-01,31,Female,Widowed,Bachelor's,Salaried,73708.58,762.0,0,0,Mortgage,South America,Debt Consolidation,7305.05,48,6.6,173.58,2.83,Approved,On-Time
LN303943,2024-01-01,38,Male,Single,High School,Salaried,15253.74,628.0,0,0,Mortgage,Africa,Business,150513.06,12,10.49,13266.81,95.0,Approved,On-Time
LN302631,2024-01-01,43,Male,Married,High School,Self-Employed,17510.35,646.0,1,1,Rent,Europe,Medical,6564.17,24,8.8,299.28,34.34,Approved,On-Time
LN303746,2024-01-02,46,Male,Single,Master's,Salaried,19636.05,715.0,2,3,Mortgage,Asia,Business,71994.04,240,8.27,614.34,59.7,Approved,Late Payments
LN302832,2024-01-02,23,Female,Divorced,Master's,Unemployed,13899.15,624.0,4,0,Mortgage,North America,Personal,6150.78,24,8.93,280.8,63.03,Rejected,N/A
LN305919,2024-01-02,47,Male,Single,High School,Salaried,31272.8,597.0,2,4,Rent,Europe,Debt Consolidation,19373.64,36,10.8,632.43,37.3,Approved,On-Time
LN305927,2024-01-02,52,Male,Married,Bachelor's,Salaried,54820.35,790.0,2,1,Mortgage,Asia,Auto,28132.44,24,5.72,1243.3,33.36,Approved,Late Payments
LN306129,2024-01-02,40,Male,Married,Master's,Unemployed,10419.59,468.0,2,1,Own,Asia,Auto,24067.51,36,12.7,807.46,95.0,Rejected,N/A
LN304195,2024-01-02,32,Female,Single,High School,Unemployed,8000.0,636.0,5,0,Mortgage,Europe,Personal,13442.03,24,10.01,620.34,95.0,Rejected,N/A
LN300473,2024-01-02,30,Female,Married,High School,Salaried,54688.68,671.0,1,1,Mortgage,Europe,Education,14260.17,60,8.92,295.46,11.36,Approved,On-Time
LN304982,2024-01-02,48,Female,Single,Bachelor's,Salaried,51518.93,715.0,1,0,Own,South America,Personal,9674.68,36,5.95,294.1,10.81,Approved,Late Payments
